S_ID,Gender,Athlete,Sport,SSS,AES/Tok,Transfer,Continuing,Prev_proff,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6
1401,F,,,,,,,Morrill,3,2,5,4,33,5
1417,M,,,,,,,Galaty,10,14,23,9,31,23
1424,F,,,,,,,Reed,3,18,19,25,22,19
1425,M,y,FB,2,2,,,Galaty,25,21,30,22,19,18
1426,F,,,,,,,Galaty,28,23,12,18,25,12
1438,M,,,,,,,Fujie,18,10,21,29,9,21
1445,F,,,,,,,Westervelt,19,7,25,14,22,25
1455,F,,,,,,,Williams,9,11,17,20,15,17
1461,F,,,,,,,Smith,15,8,25,11,32,25
1463,,,,,,,,,25,11,26,23,19,26
1474,F,,,,,,,Galaty,18,13,11,17,21,11
1480,M,,,,,,,Schestag,22,12,10,4,28,10
1485,M,,,,,,,Holzwarth,19,32,9,29,7,9
1490,M,,,,,,,Galaty,31,11,33,18,21,33
1491,M,y,MCC,2,,,,Simek,2,10,19,7,24,19
1499,F,,,,,,,Reed,18,28,19,15,31,19
1503,M, ,,,,,,JohnsonC,21,9,7,13,15,7
1508,M,,,,,,,JohnsonC,15,2,13,28,12,13
1511,F,,,,,,,Reed,7,27,8,15,9,8
1514,M,,,2,,,,Mirabile,21,11,32,8,13,32
1530,F,,,2,,,,Drayton JohnsonC,,,,,,
1565,F,,,,,,,Mirabile,18,11,12,31,15,12
1574,M,,,, ,,,Sweek,23,4,20,22,11,2
1577,F,,,1,2,,,Fujie,12,13,4,25,21,4
1578,M,,,,,,,Drayton,12,13,23,29,1,23
1592,F,,,,,,,Holzwarth,23,9,18,1,14,18
1610,M,,,,,,,Roberts,18,31,20,4,21,20
1613,F,,,,1,,,Morrill,7,12,30,25,4,27
1615,M,y,BB,,,,,Mirabile,18,11,15,13,22,15
1619,F,,,2,,,,Williams,12,11,13,17,16,13
1625,F,,,1,,,,Cameron-Dominguez,12,13,11,29,14,11
1626,F,,,,,,,Toutonghi,13,22,18,19,11,18
1641,F,,,,2,,,Schestag,12,13,30,9,7,1
1643,F,,,,,,,Ritchey,12,13,11,9,17,11
1650,F,,,,,,,Schestag,7,12,25,11,29,25
1661,M, ,,,,,,Cushman,2,23,15,18,25,15
1664,M, ,,1,,,,Drayton,13,12,27,7,1,27
1666,M,,,,,,,Ritchey,11,1,21,13,12,21
1667,M,,,,,,,Cushman,18,21,24,25,9,24
1669,,,,,,,,,26,2,12,21,10,12
1670,M, ,,,,,,Williams,3,27,21,12,7,21
1681,F,,,,,,,Ritchey,11,25,12,13,21,12
1693,F,,,,,,,Glosser,3,4,32,9,10,32
1714,F,,,,,,,Cameron-Dominguez,12,7,31,13,11,31
1716,F,,,,,,,Reed,4,34,32,3,33,32
1719,F,,,,,,,Drayton,10,2,20,4,5,1
1724,F,,,,,,,Mirabile,4,3,13,7,18,13
1726,F,,,,,,,Simek,10,23,9,12,2,9
1732,,,,,,,,,25,12,26,15,7,26
1740,F,,,2,,,,Toutonghi,12,11,7,22,16,7
1749,M,,,1,,,,Mirabile,7,27,19,11,31,19
1759,M,y,MRW,,,,,,,,,,,
1774,M,,,,,,,Schestag,21,20,10,14,11,10
1777,M,,,,,,,Cameron-Dominguez,21,3,3,32,5,3
1785,M,,,,,,,Westervelt,18,3,5,15,32,5
1787,F,,,,,,,Galaty,19,27,30,13,14,2
1789,F,,,,,,,JohnsonC,,,,,,
1792,F,,,,,,,Schestag,4,33,3,32,34,3
1795,,,,,,,,,,,,,,
1798,M,,,,,,,Reed,13,12,19,31,11,19
1806,F,,,,,,,Copenhaver,12,23,4,8,13,4
1810,F,,,1,,,,Reed,23,9,13,19,25,13
1813,F,y,WSW,1,,,,Mirabile,3,18,11,19,13,11
1816,M,,,2,,,,JohnsonL,21,31,9,15,26,9
